"Comment ID","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7642928876746638101""","=""7616652586208330773""","nazrialfachri12","nzrialfchri12","baru hidup dsni bg medan baru aduh kacau emang😂","23/5/2026, 10.55.18","1","No","0","No","https://www.tiktok.com/@nazrialfachri12"
"=""7642904010576904961""","=""6739886012815737858""","kikifadilaa","tiramisyugaa","baru nyala anjg😑","23/5/2026, 09.11.57","1","No","0","No","https://www.tiktok.com/@kikifadilaa"
"=""7643172833836679953""","=""6741565900166071297""","edichandra007","Edi Chandra_28","saya suka mati lampu, Karena apa?ya karena kerja saya cuman makan gaji buta,dtng absen dan nunggu jam plg,kmi dtng cumn utk ngopi,ngrokok dan mkn jajan,sisanya berkombur,setelah itu absen utk plg,terima kasih pln,jngn sering² ya🗿","24/5/2026, 02.34.34","0","No","0","No","https://www.tiktok.com/@edichandra007"
"=""7643125089198899975""","=""7576021095037731861""","ceyy394","aku kayak anjing","duluan Weh disini jam 21.30 idup lampu","23/5/2026, 23.29.07","0","No","0","No","https://www.tiktok.com/@ceyy394"
"=""7643047487737873159""","=""6504963998756438017""","audryywibowo","AUDRY","We sumpah, dari kemarin magrib sampe saat ini baru tebuka tiktok akuu😭💔","23/5/2026, 18.27.56","5","No","0","No","https://www.tiktok.com/@audryywibowo"
"=""7643003335813432084""","=""6946521526880650241""","justme_20267","Mom of 2","karya kasih medan johor belum nyala sampe skrg😭😭padahal sekitarnya udah nyala..😔","23/5/2026, 15.36.40","3","No","0","No","https://www.tiktok.com/@justme_20267"
"=""7643099152288629512""","=""7538320112434463762""","joodji86","JooMind_DJI","Kita yg disumatera udah biasa kek gini apalagi pas Mati lampu dan Hujan 3 hari berturut tanpa henti pas November 2025 lalu😏","23/5/2026, 21.48.22","3","No","0","No","https://www.tiktok.com/@joodji86"
"=""7643034641343988498""","=""7232903414031942683""","fahimganteng_12","M. Fahimul H.","gimana ya yg pengguna kendaraan listrik 🗿","23/5/2026, 17.38.07","2","No","0","No","https://www.tiktok.com/@fahimganteng_12"
"=""7642917940400440085""","=""6889320623987622914""","tantiendayani","Tanti Endayani","Ranto jam 6 udh hidup","23/5/2026, 10.10.08","0","No","0","No","https://www.tiktok.com/@tantiendayani"
"=""7642960468355089160""","=""79868347762""","pahayam8","pahayam8","Td mlm baring sambil natap langit"" plapon , melamun ga jelas, yg biasa begadang megang hp ini cumn liatin atas doang😭😭","23/5/2026, 12.50.18","1","No","0","No","https://www.tiktok.com/@pahayam8"
